,doc_id,datetime_1,datetime_1_type,vol_1,vol_1_type,price_1,price_1_type,price_2,price_2_type,price_3,price_3_type,vol_2,vol_2_type,price_4,price_4_type,price_5,price_5_type,vol_3,vol_3_type,price_6,price_6_type,instrument_type,product_type,additional,price_7,price_7_type,price_8,price_8_type,price_9,price_9_type,price_10,price_10_type,price_11,price_11_type,price_12,price_12_type,price_13,price_13_type,vol_4,vol_4_type
2,APC20080229,2010,index,345,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(1.08,"price per mmbtu,natural gas,average price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
0,APC20080229,"2008,",index,86.0,"three-way collars (mbbls/d),crude oil,",$92.98,"ceiling sold price,crude oil,average price per barrel",$56.07,"floor purchased price,crude oil,average price per barrel",$41.07,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
1,APC20080229,"2009,",index,48.0,"three-way collars (mbbls/d),crude oil,",$87.04,"ceiling sold price,crude oil,average price per barrel",$52.51,"floor purchased price,crude oil,average price per barrel",$37.51,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
2,APC20080229,"2010,",index,18.0,"three-way collars (mbbls/d),crude oil,",$86.76,"ceiling sold price,crude oil,average price per barrel",$49.19,"floor purchased price,crude oil,average price per barrel",$34.18,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
3,APC20080229,average2011|2012,index,2,"three-way collars (mbbls/d),crude oil,",$88.17,"ceiling sold price,crude oil,average price per barrel",$50.00,"floor purchased price,crude oil,average price per barrel",$35.00,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
0,APC20090225,2009,index,530,"three-way collars (thousand mmbtu/d),natural gas,",$11.25,"ceiling sold price,natural gas,average price per mmbtu",$7.50,"floor purchased price,natural gas,average price per mmbtu",$5.45,"floor sold price,natural gas,average price per mmbtu",,,,,,,,,,,collar,natural gas,,,,,,,,,,,,,,,,,
0,APC20090225,2009,index,1200,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(0.85,"price per mmbtu,natural gas,average price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
1,APC20090225,2010,index,465,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(1.16,"price per mmbtu,natural gas,average price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
2,APC20090225,2011,index,45,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(1.74,"price per mmbtu,natural gas,average price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
0,APC20090225,"2009,",index,48.0,"three-way collars (mbbls/d),crude oil,",$87.04,"ceiling sold price,crude oil,average price per barrel",$52.51,"floor purchased price,crude oil,average price per barrel",$37.51,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
1,APC20090225,"2010,",index,18.0,"three-way collars (mbbls/d),crude oil,",$86.76,"ceiling sold price,crude oil,average price per barrel",$49.19,"floor purchased price,crude oil,average price per barrel",$34.18,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
2,APC20090225,"2011,",index,3.0,"three-way collars (mbbls/d),crude oil,",$86.0,"ceiling sold price,crude oil,average price per barrel",$50.0,"floor purchased price,crude oil,average price per barrel",$35.0,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
3,APC20090225,"2012,",index,2.0,"three-way collars (mbbls/d),crude oil,",$92.5,"ceiling sold price,crude oil,average price per barrel",$50.0,"floor purchased price,crude oil,average price per barrel",$35.0,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
0,APC20100223,2010,index,1630,"three-way collars (thousand mmbtu/d),natural gas,",$8.23,"ceiling sold price (call),natural gas,average price per mmbtu",$5.59,"floor purchased price (put),natural gas,average price per mmbtu",$4.22,"floor sold price (put),natural gas,average price per mmbtu",90,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per mmbtu",$6.10,"average price per mmbtu,natural gas,average price per mmbtu",,,,,,,"collar, call, put",natural gas,,,,,,,,,,,,,,,,,
1,APC20100223,2011,index,480,"three-way collars (thousand mmbtu/d),natural gas,",$8.29,"ceiling sold price (call),natural gas,average price per mmbtu",$6.50,"floor purchased price (put),natural gas,average price per mmbtu",$5.00,"floor sold price (put),natural gas,average price per mmbtu",90,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per mmbtu",$6.17,"average price per mmbtu,natural gas,average price per mmbtu",,,,,,,"collar, call, put",natural gas,,,,,,,,,,,,,,,,,
2,APC20100223,2012,index,500,"three-way collars (thousand mmbtu/d),natural gas,",$9.03,"ceiling sold price (call),natural gas,average price per mmbtu",$6.50,"floor purchased price (put),natural gas,average price per mmbtu",$5.00,"floor sold price (put),natural gas,average price per mmbtu",,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per mmbtu",,"average price per mmbtu,natural gas,average price per mmbtu",,,,,,,"collar, call, put",natural gas,,,,,,,,,,,,,,,,,
0,APC20100223,2010,index,620,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(0.98,"price per mmbtu,natural gas,average price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
1,APC20100223,2011,index,45,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(1.74,"price per mmbtu,natural gas,average price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
0,APC20100223,"2010,",index,129.0,"three-way collars (mbbls/d),crude oil,",$90.73,"ceiling sold price (call),crude oil,average price per barrel",$64.34,"floor purchased price (put),crude oil,average price per barrel",$49.34,"floor sold price (put),crude oil,average price per barrel",,,,,,,,,,,"collar, call, put",oil,,,,,,,,,,,,,,,,,
1,APC20100223,"2011,",index,3.0,"three-way collars (mbbls/d),crude oil,",$86.0,"ceiling sold price (call),crude oil,average price per barrel",$50.0,"floor purchased price (put),crude oil,average price per barrel",$35.0,"floor sold price (put),crude oil,average price per barrel",,,,,,,,,,,"collar, call, put",oil,,,,,,,,,,,,,,,,,
2,APC20100223,"2012,",index,2.0,"three-way collars (mbbls/d),crude oil,",$92.5,"ceiling sold price (call),crude oil,average price per barrel",$50.0,"floor purchased price (put),crude oil,average price per barrel",$35.0,"floor sold price (put),crude oil,average price per barrel",,,,,,,,,,,"collar, call, put",oil,,,,,,,,,,,,,,,,,
0,APC20110223,2011,index,480,"three-way collars (thousand mmbtu/d),natural gas,",$8.29,"ceiling sold price (call),natural gas,average price per mmbtu",$6.50,"floor purchased price (put),natural gas,average price per mmbtu",$5.00,"floor sold price (put),natural gas,average price per mmbtu",90,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per mmbtu",$6.17,"average price per mmbtu,natural gas,average price per mmbtu",,,,,,,"collar, call, put",natural gas,,,,,,,,,,,,,,,,,
1,APC20110223,2012,index,500,"three-way collars (thousand mmbtu/d),natural gas,",$9.03,"ceiling sold price (call),natural gas,average price per mmbtu",$6.50,"floor purchased price (put),natural gas,average price per mmbtu",$5.00,"floor sold price (put),natural gas,average price per mmbtu",,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per mmbtu",,"average price per mmbtu,natural gas,average price per mmbtu",,,,,,,"collar, call, put",natural gas,,,,,,,,,,,,,,,,,
0,APC20110223,2011,index,45,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(1.74,"average price per mmbtu,natural gas,average price per mmbtu,",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
0,APC20110223,"2011,",index,126.0,"three-way collars (mbbls/d),crude oil,",$99.95,"ceiling sold price (call),crude oil,average price per barrel",$79.29,"floor purchased price (put),crude oil,average price per barrel",$64.29,"floor sold price (put),crude oil,average price per barrel",,,,,,,,,,,"collar, call, put",oil,,,,,,,,,,,,,,,,,
1,APC20110223,"2012,",index,2.0,"three-way collars (mbbls/d),crude oil,",$92.5,"ceiling sold price (call),crude oil,average price per barrel",$50.0,"floor purchased price (put),crude oil,average price per barrel",$35.0,"floor sold price (put),crude oil,average price per barrel",,,,,,,,,,,"collar, call, put",oil,,,,,,,,,,,,,,,,,
0,APC20120221,2012,index,,"three-way collars (thousand mmbtu/d),natural gas,",,"ceiling sold price (call),natural gas,average price per mmbtu",,"floor purchased price (put),natural gas,average price per mmbtu",,"floor sold price (put),natural gas,average price per mmbtu",1000,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per mmbtu",$4.69,"average price per mmbtu,natural gas,average price per mmbtu",,,2,"three-way collars (mbbls/d),crude oil,average price per mmbtu",,,"collar, call, put","natural gas, oil",,,,,,,,,,,,,,,,,
1,APC20120221,,index,Neg1,"three-way collars (thousand mmbtu/d),natural gas,",,"ceiling sold price (call),natural gas,average price per mmbtu",,"floor purchased price (put),natural gas,average price per mmbtu",,"floor sold price (put),natural gas,average price per mmbtu",,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per mmbtu",,"average price per mmbtu,natural gas,average price per mmbtu",,,,"three-way collars (mbbls/d),crude oil,average price per mmbtu",,,"collar, call, put","natural gas, oil",,,,,,,,,,,,,,,,,
2,APC20120221,2013,index,450,"three-way collars (thousand mmbtu/d),natural gas,",$6.57,"ceiling sold price (call),natural gas,average price per mmbtu",$5.00,"floor purchased price (put),natural gas,average price per mmbtu",$4.00,"floor sold price (put),natural gas,average price per mmbtu",,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per mmbtu",,"average price per mmbtu,natural gas,average price per mmbtu",,,,"three-way collars (mbbls/d),crude oil,average price per mmbtu",,,"collar, call, put","natural gas, oil",,,,,,,,,,,,,,,,,
0,APC20120221,2012,index,,,$92.50,"ceiling sold price (call),crude oil,average price per barrel",$50.00,"floor purchased price (put),crude oil,average price per barrel",$35.00,"floor sold price (put),crude oil,average price per barrel",,,,,,,,,,,"collar, call, put",oil,,,,,,,,,,,,,,,,,
0,APC20130219,2013 settlement,index,,"three-way collars (thousand mmbtu/d),natural gas,",$4.00,"average price per mmbtu,natural gas,",,,,,1185,"fixed-price contracts (thousand mmbtu/d),natural gas,",,,,,,,,,collar,natural gas,,,,,,,,,,,,,,,,,
1,APC20130219,,index,Neg1,"three-way collars (thousand mmbtu/d),natural gas,",,"average price per mmbtu,natural gas,",,,,,,"fixed-price contracts (thousand mmbtu/d),natural gas,",,,,,,,,,collar,natural gas,,,,,,,,,,,,,,,,,
0,APC20130219,2013 settlement,index,26,"three-way collars (mbbls/d),crude oil,",$125.15,"ceiling sold price (call),crude oil,average price per barrel",$105.00,"floor purchased price (put),crude oil,average price per barrel",$85.00,"floor sold price (put),crude oil,average price per barrel",40,"fixed-price contracts (mbbls/d),crude oil,average price per barrel",$107.04,"average price per barrel,crude oil,average price per barrel",,,,,,,"collar, call, put",oil,,,,,,,,,,,,,,,,,
0,APC20140228,",2014 settlement",index,600,"three-way collars (thousand mmbtu/d),natural gas,",$5.01,"ceiling sold price (call),natural gas,average price per mmbtu",$3.75,"floor purchased price (put),natural gas,average price per mmbtu",$2.75,"floor sold price (put),natural gas,average price per mmbtu",600,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per mmbtu",$4.26,"average price per mmbtu,natural gas,average price per mmbtu",$4.19,"average price per mmbtu,natural gas,average price per mmbtu,",400,"extendable fixed-price contracts (thousand mmbtu/d) ,,natural gas,average price per mmbtu",$100.58,"average price per barrel,crude oil,average price per mmbtu","collar, call, put","oil, natural gas",,,,,,,,,,,,,,,,107,"fixed-price contracts (mbbls/d),crude oil,average price per mmbtu"
1,APC20140228,",2015 settlement",index,635,"three-way collars (thousand mmbtu/d),natural gas,",$4.76,"ceiling sold price (call),natural gas,average price per mmbtu",$3.75,"floor purchased price (put),natural gas,average price per mmbtu",$2.75,"floor sold price (put),natural gas,average price per mmbtu",,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per mmbtu",,"average price per mmbtu,natural gas,average price per mmbtu",,"average price per mmbtu,natural gas,average price per mmbtu,",,"extendable fixed-price contracts (thousand mmbtu/d) ,,natural gas,average price per mmbtu",,"average price per barrel,crude oil,average price per mmbtu","collar, call, put","oil, natural gas",,,,,,,,,,,,,,,,,"fixed-price contracts (mbbls/d),crude oil,average price per mmbtu"
0,APC20150220,",2015 settlement",index,635,"three-way collars (thousand mmbtu/d),natural gas,",$4.76,"ceiling sold price (call),natural gas,average price per mmbtu",$3.75,"floor purchased price (put),natural gas,average price per mmbtu",$2.75,"floor sold price (put),natural gas,average price per mmbtu",170,"extendable fixed-price contracts (thousand mmbtu/d) ,,natural gas,average price per mmbtu",$4.17,"average price per mmbtu,natural gas,average price per mmbtu",,,,,,,"collar, call, put",natural gas,,,,,,,,,,,,,,,,,
0,APC20160217,",2016 settlement",index,83,"three-way collars (mbbls/d),oil,",$63.82,"ceiling sold price (call),oil,average price per barrel",$54.46,"floor purchased price (put),oil,average price per barrel",$42.77,"floor sold price (put),oil,average price per barrel",,,,,,,,,,,"collar, call, put",oil,,,,,,,,,,,,,,,,,
0,APC20160217,",2016 settlement",index,38,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per barrel",$2.53,"average price per mmbtu,natural gas,average price per barrel",,,,,,,,,,,,,,,@,"oil, natural gas",,,,,,,,,,,,,,,,,
0,APC20160217,",2016 settlement",index,4,"fixed-price contracts (mbbls/d),ngls,average price per barrel",$13.07,"average price per barrel,ngls,average price per barrel",,,,,,,,,,,,,,,@,"oil, natural gas liquid",,,,,,,,,,,,,,,,,
0,APC20170217,",2017 settlement",index,91,"three-way collars (mbbls/d),oil,",$59.80,"ceiling sold price (call),oil,average price per barrel",$50.00,"floor purchased price (put),oil,average price per barrel",$40.00,"floor sold price (put),oil,average price per barrel",,,,,,,,,,,"collar, call, put",oil,,,,,,,,,,,,,,,,,
0,APC20170217,",2017 settlement",index,682,"three-way collars (thousand mmbtu/d),natural gas,average price per barrel",$3.60,"ceiling sold price (call),natural gas,average price per mmbtu",$2.75,"floor purchased price (put),natural gas,average price per mmbtu",$2.00,"floor sold price (put),natural gas,average price per mmbtu",37,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per mmbtu",$3.23,"average price per mmbtu,natural gas,average price per mmbtu",,,,,,,"collar, call, put","oil, natural gas",,,,,,,,,,,,,,,,,
1,APC20170217,",2018 settlement",index,250,"three-way collars (thousand mmbtu/d),natural gas,average price per barrel",$3.54,"ceiling sold price (call),natural gas,average price per mmbtu",$2.75,"floor purchased price (put),natural gas,average price per mmbtu",$2.00,"floor sold price (put),natural gas,average price per mmbtu",,"fixed-price contracts (thousand mmbtu/d),natural gas,average price per mmbtu",,"average price per mmbtu,natural gas,average price per mmbtu",,,,,,,"collar, call, put","oil, natural gas",,,,,,,,,,,,,,,,,
0,APC20170217,",2017 settlement",index,2,"fixed-price contracts (mbbls/d),ngls,average price per mmbtu",$15.84,"average price per barrel,ngls,average price per mmbtu",,,,,,,,,,,,,,,@,"oil, natural gas, natural gas liquid",,,,,,,,,,,,,,,,,
